epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.616,2.1292,13.7596,1.33094,4e-05,0.05882,0,0,1.83689,10.3731,1.24095,0.000665841,0.000665841,0.000665841
2,309.729,2.12309,5.13298,1.28514,0.00351,0.25882,0.00257,0.00056,2.03506,4.20384,1.32235,0.00131932,0.00131932,0.00131932
3,465.63,2.04606,3.29151,1.23749,0.01141,0.12941,0.00396,0.001,1.89857,3.6551,1.29566,0.00195959,0.00195959,0.00195959
4,648.6,2.14047,3.20829,1.34129,0.00314,0.48235,0.01982,0.00552,1.78199,3.1797,1.25105,0.0019406,0.0019406,0.0019406
5,765.426,2.06342,2.93298,1.29692,0.01076,0.23529,0.00776,0.00184,1.80456,3.06642,1.22995,0.0019208,0.0019208,0.0019208
6,905.3,2.04477,2.94326,1.28764,0.00627,0.44706,0.02244,0.0063,1.74143,2.87653,1.19603,0.001901,0.001901,0.001901
7,998.259,2.04339,2.75521,1.27252,0.00574,0.43529,0.0256,0.00696,1.73918,2.88947,1.24678,0.0018812,0.0018812,0.0018812
8,1140.61,1.95564,2.77691,1.24545,0.01695,0.27059,0.02741,0.00707,1.76242,2.93047,1.25096,0.0018614,0.0018614,0.0018614
9,1301.09,1.95178,2.72454,1.24378,0.15528,0.03529,0.04847,0.01139,1.7392,2.76983,1.19325,0.0018416,0.0018416,0.0018416
10,1394.39,1.90604,2.58489,1.20078,0.1189,0.02353,0.03676,0.00859,1.77799,2.86469,1.2274,0.0018218,0.0018218,0.0018218
11,1559.55,1.89322,2.53968,1.2001,0.24354,0.05882,0.05914,0.01783,1.7137,2.7391,1.20718,0.001802,0.001802,0.001802
12,1696.55,1.96351,2.57015,1.26683,0.07375,0.04706,0.02637,0.01062,1.75195,2.85767,1.20975,0.0017822,0.0017822,0.0017822
13,1825.6,1.89491,2.52677,1.18221,0.21766,0.03945,0.02799,0.00694,1.67006,2.84265,1.21518,0.0017624,0.0017624,0.0017624
14,1937.75,1.83792,2.50819,1.17397,0.34013,0.10588,0.0795,0.0209,1.80028,2.59988,1.2372,0.0017426,0.0017426,0.0017426
15,2086.19,1.86488,2.46581,1.20639,0.13887,0.07059,0.05273,0.01633,1.6793,2.86719,1.15948,0.0017228,0.0017228,0.0017228
16,2232.69,1.83414,2.35088,1.18937,0.14007,0.16471,0.06434,0.02052,1.68435,2.65542,1.18925,0.001703,0.001703,0.001703
17,2352.26,1.81653,2.36323,1.164,0.2944,0.2,0.10399,0.03189,1.7348,2.51192,1.19694,0.0016832,0.0016832,0.0016832
18,2444.83,1.87946,2.41728,1.19831,0.15778,0.18824,0.08984,0.03128,1.67032,2.63619,1.18087,0.0016634,0.0016634,0.0016634
19,2537.77,1.87499,2.41749,1.18633,0.30237,0.15294,0.11172,0.03608,1.51809,2.58957,1.14841,0.0016436,0.0016436,0.0016436
20,2630.01,1.76575,2.24806,1.14942,0.38031,0.15294,0.12823,0.04057,1.67344,2.86469,1.20466,0.0016238,0.0016238,0.0016238
21,2723.86,1.8287,2.31869,1.1535,0.28648,0.15294,0.12166,0.04693,1.71087,2.39302,1.20158,0.001604,0.001604,0.001604
22,2818.8,1.83287,2.25304,1.18361,0.48617,0.14118,0.13932,0.04712,1.70849,2.52187,1.21751,0.0015842,0.0015842,0.0015842
23,2911.47,1.7225,2.13397,1.12736,0.48268,0.11765,0.13119,0.04536,1.6522,2.455,1.17383,0.0015644,0.0015644,0.0015644
24,3054.11,1.86801,2.31613,1.21336,0.2578,0.12941,0.09215,0.02981,1.68501,2.43153,1.21288,0.0015446,0.0015446,0.0015446
25,3182.16,1.78104,2.21282,1.17346,0.22313,0.15294,0.10886,0.03834,1.61335,2.44847,1.13923,0.0015248,0.0015248,0.0015248
26,3276.98,1.76607,2.11795,1.13409,0.26473,0.12941,0.11018,0.03991,1.61785,2.4339,1.14773,0.001505,0.001505,0.001505
27,3369.58,1.76242,2.21479,1.13846,0.19867,0.17502,0.0905,0.03071,1.64942,2.27867,1.14542,0.0014852,0.0014852,0.0014852
28,3462.44,1.67936,2.12874,1.10153,0.39219,0.15294,0.16015,0.04666,1.6866,2.42799,1.19497,0.0014654,0.0014654,0.0014654
29,3556.66,1.83201,2.19135,1.19344,0.41894,0.16471,0.14926,0.05982,1.66105,2.32385,1.13528,0.0014456,0.0014456,0.0014456
30,3649.73,1.66172,2.01185,1.06563,0.34105,0.16471,0.17387,0.05706,1.66683,2.26549,1.1661,0.0014258,0.0014258,0.0014258
31,3743.55,1.75984,2.15042,1.12858,0.3133,0.17647,0.15023,0.05339,1.64311,2.28055,1.17466,0.001406,0.001406,0.001406
32,3835.41,1.70239,2.06886,1.12003,0.34379,0.23423,0.21057,0.07524,1.66778,2.30402,1.1559,0.0013862,0.0013862,0.0013862
33,3927.62,1.62248,2.02981,1.08474,0.22567,0.18824,0.1172,0.03788,1.67045,2.36437,1.16756,0.0013664,0.0013664,0.0013664
34,4021.71,1.75544,2.05991,1.14482,0.3829,0.18824,0.16556,0.05929,1.60117,2.22639,1.13214,0.0013466,0.0013466,0.0013466
35,4166.03,1.72905,2.03482,1.10123,0.22847,0.22353,0.14144,0.04782,1.59936,2.37319,1.16994,0.0013268,0.0013268,0.0013268
36,4259.28,1.64295,2.00056,1.07791,0.32672,0.1884,0.16704,0.06402,1.59454,2.28321,1.1573,0.001307,0.001307,0.001307
37,4351.34,1.59148,1.85723,1.01929,0.56864,0.16471,0.19976,0.06926,1.60553,2.20987,1.11699,0.0012872,0.0012872,0.0012872
38,4442.54,1.63023,1.9175,1.07443,0.30576,0.22353,0.18305,0.07256,1.60659,2.27554,1.15143,0.0012674,0.0012674,0.0012674
39,4535.62,1.61497,1.90919,1.05934,0.44375,0.18772,0.17444,0.06473,1.61877,2.25644,1.16182,0.0012476,0.0012476,0.0012476
40,4625.8,1.66189,1.92976,1.11998,0.21657,0.24717,0.20244,0.07409,1.58841,2.289,1.17194,0.0012278,0.0012278,0.0012278
