epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,452.108,1.63607,3.28337,1.4346,0.76333,0.50164,0.61161,0.30764,1.62486,2.65074,1.38508,0.00999591,0.00333197,0.00999591,0.00333197,0.00999591,0.00333197,0.00999591,0.00333197
2,797.262,1.59755,1.63026,1.37096,0.81673,0.64333,0.73964,0.3852,1.63356,1.89559,1.43341,0.0197979,0.00659932,0.0197979,0.00659932,0.0197979,0.00659932,0.0197979,0.00659932
3,1114.33,1.62857,1.57132,1.43302,0.82057,0.64989,0.74738,0.3768,1.69474,1.81319,1.52527,0.029402,0.00980066,0.029402,0.00980066,0.029402,0.00980066,0.029402,0.00980066
4,1423.39,1.62738,1.53736,1.4448,0.78641,0.58972,0.69332,0.34472,1.7184,1.92198,1.53777,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1731.41,1.57199,1.40152,1.41765,0.8375,0.69967,0.79149,0.42527,1.60542,1.67156,1.4633,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2039.96,1.55089,1.32385,1.40206,0.84938,0.71116,0.81278,0.45059,1.55242,1.53649,1.43603,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2347.85,1.52719,1.26339,1.37687,0.86019,0.70681,0.8174,0.44701,1.56421,1.53824,1.44863,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2656.46,1.50913,1.23028,1.37008,0.88669,0.72429,0.8344,0.45971,1.57206,1.40244,1.46159,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2965.09,1.49444,1.1979,1.35997,0.87513,0.76204,0.8563,0.48428,1.53153,1.36311,1.43968,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3274.24,1.48844,1.18523,1.35892,0.89323,0.78446,0.86641,0.48704,1.49824,1.34845,1.41556,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3583.22,1.47907,1.15784,1.34987,0.89502,0.74617,0.86359,0.48225,1.53904,1.28213,1.42342,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3892.94,1.46761,1.1271,1.33874,0.89095,0.77899,0.87514,0.49444,1.50661,1.29011,1.4004,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,4201.75,1.45548,1.105,1.33564,0.91439,0.78293,0.88128,0.50459,1.48381,1.2804,1.40662,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,4510.62,1.45621,1.09735,1.33573,0.90444,0.77149,0.87481,0.50167,1.48349,1.29306,1.3949,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4819.53,1.4367,1.07496,1.31945,0.881,0.78971,0.87723,0.50541,1.48399,1.24272,1.39981,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,5128.65,1.44091,1.06318,1.31761,0.89918,0.79267,0.87992,0.50505,1.48764,1.22118,1.39424,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,5437.07,1.43069,1.05595,1.31155,0.90329,0.79212,0.88278,0.51203,1.45898,1.18566,1.37061,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,5746.32,1.43021,1.03996,1.31269,0.90007,0.80525,0.88858,0.51443,1.46277,1.16901,1.37238,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,6056.2,1.41979,1.04106,1.30428,0.90622,0.79869,0.89158,0.52497,1.4531,1.16207,1.36424,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,6366.05,1.42093,1.03043,1.30564,0.89071,0.80744,0.88736,0.5188,1.44879,1.14881,1.36485,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,6674.55,1.40568,1.00502,1.29757,0.91146,0.80033,0.89423,0.52291,1.4566,1.09934,1.3698,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,6983.39,1.40455,1.00481,1.29349,0.90418,0.7965,0.88939,0.52325,1.43581,1.09449,1.36288,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,7292.25,1.39865,1.00385,1.28978,0.89464,0.80963,0.89377,0.53031,1.43658,1.08839,1.35898,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,7601.49,1.40214,0.99555,1.29334,0.90585,0.80908,0.90126,0.53223,1.44354,1.08231,1.35722,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,7910.64,1.39671,0.98208,1.28802,0.90843,0.81018,0.902,0.53283,1.43905,1.07621,1.35302,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,8219.85,1.38602,0.97475,1.28005,0.9065,0.80619,0.89976,0.53052,1.43823,1.08595,1.34625,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,8528.88,1.38679,0.96943,1.28398,0.90319,0.81783,0.90036,0.53013,1.4366,1.06011,1.34142,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,8837.99,1.3783,0.96386,1.27712,0.91306,0.81729,0.90315,0.5339,1.42606,1.05367,1.3468,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,9146.58,1.38042,0.95546,1.2825,0.91398,0.82002,0.90721,0.53539,1.42754,1.0529,1.34374,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,9455.18,1.37027,0.94196,1.27621,0.90021,0.82903,0.90843,0.53649,1.43026,1.03069,1.34564,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,9763.73,1.36908,0.93301,1.27101,0.89639,0.82659,0.90558,0.5357,1.43238,1.02345,1.34486,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,10073.3,1.36606,0.93114,1.26696,0.90033,0.8326,0.90899,0.54088,1.43429,1.00891,1.34621,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,10382.8,1.36303,0.91116,1.26803,0.90252,0.83064,0.90984,0.54144,1.43369,1.01446,1.34458,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,10692,1.35172,0.91346,1.26412,0.89771,0.83539,0.90912,0.54001,1.43043,0.99888,1.34362,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,11000.8,1.36113,0.9211,1.26644,0.90193,0.82877,0.90758,0.54062,1.43234,1.00566,1.34478,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,11310.2,1.35268,0.90765,1.26434,0.90465,0.83045,0.90891,0.53901,1.43729,1.00621,1.34985,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,11619.2,1.34846,0.90323,1.26312,0.90159,0.83862,0.9099,0.54229,1.43828,1.0036,1.34768,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,11928.7,1.34239,0.88934,1.25744,0.90596,0.8327,0.90864,0.5439,1.44037,0.99843,1.35012,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,12238.1,1.34705,0.88143,1.25943,0.91734,0.82562,0.9099,0.54179,1.44447,0.99389,1.35011,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,12547.1,1.34449,0.88414,1.25719,0.90652,0.83287,0.91028,0.54297,1.43563,0.98729,1.34514,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,12856.2,1.33806,0.87947,1.25152,0.91336,0.83049,0.91275,0.543,1.43165,0.98157,1.34229,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,13166.1,1.34236,0.87219,1.25279,0.90859,0.8319,0.91219,0.54394,1.43346,0.97361,1.34115,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,13474.5,1.33992,0.86528,1.24892,0.90998,0.83505,0.91365,0.54373,1.43355,0.96831,1.34048,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,13783.5,1.32056,0.86263,1.24207,0.90461,0.83527,0.91358,0.54555,1.42861,0.96451,1.33757,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,14092.4,1.32577,0.85246,1.24523,0.90403,0.83151,0.91368,0.5459,1.42896,0.95806,1.33794,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,14401,1.32074,0.84272,1.24262,0.90586,0.83315,0.91398,0.54637,1.43323,0.95591,1.34092,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,14709.9,1.30981,0.83874,1.23619,0.91238,0.82987,0.91506,0.5466,1.43571,0.95213,1.34207,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,15018.3,1.31313,0.83443,1.23929,0.90557,0.83534,0.91329,0.54521,1.43794,0.9511,1.34457,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,15326.9,1.31097,0.84092,1.23189,0.9081,0.83783,0.91287,0.5455,1.43976,0.9456,1.34637,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,15635.5,1.30482,0.81846,1.23486,0.91105,0.83484,0.91261,0.54538,1.44045,0.94158,1.34773,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
